Date,Open,High,Low,Close,Adj Close,Volume
01-07-2002,70.400002,71.474998,70.050003,70.449997,32.190468,51318
02-07-2002,70.525002,71.150002,69.250000,69.724998,31.859192,130628
03-07-2002,69.949997,71.275002,69.300003,69.775002,31.882050,84620
04-07-2002,70.000000,70.300003,69.500000,69.525002,31.767811,48636
05-07-2002,70.750000,70.750000,69.500000,69.525002,31.767811,86260
08-07-2002,70.500000,72.500000,70.000000,71.099998,32.487476,168204
09-07-2002,71.000000,72.199997,70.025002,70.250000,32.099079,71802
10-07-2002,70.500000,70.500000,69.400002,69.824997,31.904881,71942
11-07-2002,70.250000,70.250000,69.275002,69.474998,31.744965,41892
12-07-2002,69.500000,70.449997,69.250000,69.849998,31.916321,42490
15-07-2002,71.500000,72.449997,70.074997,71.949997,32.875854,175378
16-07-2002,71.949997,72.500000,70.750000,71.074997,32.476040,117466
17-07-2002,70.750000,71.000000,69.824997,70.125000,32.041977,70776
18-07-2002,70.050003,71.474998,70.050003,70.949997,32.418934,41178
19-07-2002,70.550003,71.625000,70.000000,70.349998,32.144779,56048
22-07-2002,70.000000,70.474998,69.875000,70.125000,32.041977,66966
23-07-2002,70.000000,70.449997,70.000000,70.150002,32.053394,49306
24-07-2002,70.000000,70.324997,69.324997,69.974998,31.973434,95986
25-07-2002,72.449997,72.500000,69.074997,69.974998,31.973434,52596
26-07-2002,70.199997,70.199997,69.000000,69.400002,31.710707,83598
29-07-2002,69.300003,69.750000,66.750000,68.250000,31.185236,95712
30-07-2002,69.250000,69.250000,66.750000,66.875000,30.556963,107696
31-07-2002,67.500000,68.375000,66.000000,66.849998,30.545530,92320
01-08-2002,67.500000,68.699997,67.025002,67.425003,30.808260,28946
02-08-2002,66.800003,68.150002,66.275002,67.099998,30.659767,26878
05-08-2002,67.500000,67.699997,66.800003,67.425003,30.808260,25344
06-08-2002,67.000000,67.375000,66.599998,66.974998,30.602655,36222
