Date,Open,High,Low,Close,Adj Close,Volume
28-07-2009,30.000000,31.959999,29.219999,30.389999,25.668547,97955
29-07-2009,30.660000,34.000000,29.430000,32.459999,27.416946,67430
30-07-2009,32.360001,33.000000,31.020000,31.610001,26.699009,4790
31-07-2009,31.639999,32.340000,31.020000,31.020000,26.200670,8280
03-08-2009,30.580000,32.000000,30.500000,30.600000,25.845922,4365
04-08-2009,30.200001,30.799999,30.000000,30.000000,25.339138,1915
05-08-2009,31.400000,31.400000,30.299999,30.299999,25.592531,525
06-08-2009,31.400000,32.049999,31.400000,32.000000,27.028414,8050
07-08-2009,31.000000,31.440001,30.020000,30.190001,25.499619,9910
10-08-2009,30.799999,30.799999,29.540001,30.799999,26.014851,580
11-08-2009,30.799999,32.950001,29.900000,31.280001,26.420277,9685
12-08-2009,30.600000,31.600000,30.400000,31.000000,26.183777,265
13-08-2009,30.700001,31.400000,30.700001,31.000000,26.183777,8505
14-08-2009,31.740000,31.740000,31.000000,31.080000,26.251347,3925
17-08-2009,31.750000,31.750000,30.799999,31.200001,26.352705,520
18-08-2009,31.750000,32.080002,31.100000,31.209999,26.361149,700
19-08-2009,31.020000,31.799999,31.000000,31.680000,26.758133,2650
20-08-2009,31.000000,31.500000,30.600000,31.059999,26.234455,7135
21-08-2009,30.780001,31.400000,30.780001,31.400000,26.521631,795
24-08-2009,31.200001,31.900000,31.200001,31.250000,26.394938,8400
25-08-2009,31.700001,34.000000,30.200001,32.950001,27.830822,24145
26-08-2009,34.180000,36.000000,33.639999,34.529999,29.165346,21225
27-08-2009,39.599998,41.439999,36.000000,38.490002,32.510120,460415
28-08-2009,38.619999,39.900002,36.840000,38.049999,32.138481,93830
31-08-2009,37.389999,40.200001,37.020000,39.570000,33.422318,124775
01-09-2009,40.189999,40.799999,34.439999,38.080002,32.163818,96685
02-09-2009,38.549999,39.580002,38.250000,38.669998,32.662144,21575
03-09-2009,40.959999,41.000000,38.000000,38.009998,32.104694,9555
04-09-2009,37.700001,39.400002,37.200001,38.009998,32.104694,9575
07-09-2009,38.910000,45.599998,38.910000,41.580002,35.120052,217850
08-09-2009,41.599998,44.000000,41.400002,42.070000,37.807068,85435
09-09-2009,42.520000,42.980000,38.799999,40.180000,36.108589,114230
10-09-2009,40.939999,41.340000,39.209999,39.619999,35.605324,69610
11-09-2009,39.980000,40.380001,35.660000,38.570000,34.661724,81155
14-09-2009,38.099998,39.119999,37.279999,37.860001,34.023666,32680
15-09-2009,37.840000,39.980000,37.840000,38.669998,34.751587,32755
16-09-2009,37.799999,39.799999,37.799999,38.709999,34.787544,13440
17-09-2009,39.730000,46.360001,39.709999,42.189999,37.914909,428075
18-09-2009,42.599998,42.799999,39.799999,41.029999,36.872448,69925
